idex,sfx entertainment,amber road
altera,idera pharmaceuticals,zs pharma
makita,rubicon project,medicines company
gentex,zumiez,dominion diamond
ooma,corium international,hometown bankshares
equity one,mercury systems,alteryx
homeaway,momo,voyager therapeutics
amc networks,lennox international,autoliv
omnicare,bankrate,just energy group
zipcar,hms holdings,american woodmark
nexen,ares management,halozyme therapeutics
igo,cheetah mobile,ring energy
chegg,alcentra capital,rlj lodging trust
lightbridge,windstream holdings,warrior met coal
corinthian colleges,apollo education group,dxc technology
steelcase,finjan holdings,cyrusone
firstbank,intercept pharmaceuticals,cara therapeutics
fnb,vanda pharmaceuticals,john bean technologies
goldfield,american dg energy,genomic health
csp,tw telecom,cadence bancorp
beyond meat,lithia motors,meridian bioscience
us gold,basic energy services,pc connection
baidu,ardelyx,novo nordisk as
curtiss wright,methanex,the meet group
xactly,wec energy group,transcat
incontact,micros systems,antero midstream
weyerhaeuser,ambarella,avantor
j jill,pepco holdings,quotient technology
smart technologies,jason industries,heron therapeutics
american electric power,constellation brands,gardner denver holdings
mueller water products,american apparel,altimmune
ducommun,unum group,encore wire
alliance resource partners,calpine,veritone
salesforce com,qep resources,discover financial services
acadia healthcare,mdc partners,flexion therapeutics
extended stay america,gentiva health services,daseke
hercules capital,concur technologies,immunomedics
stitch fix,contrafect,atwood oceanics
micron technology,california water service group,loxo oncology
exone,whitewave foods,g iii apparel group
airgas,mobileye,keysight technologies
prologis,aviva plc,new age beverages
national beverage,columbia pipeline group,coresite realty
western digital,sunedison,coherus biosciences
capital one financial,athlon energy,teekay
booking holdings,biocryst pharmaceuticals,scientific games
opower,vwr,overhill farms
callaway golf,chimerix,fabrinet
pcm,kindred healthcare,spectranetics
bruker,bjs restaurants,dova pharmaceuticals
century communities,flotek industries,monogram residential trust
amerisourcebergen,fti consulting,india fund
newmarket,usana health sciences,gold standard ventures
hca healthcare,fei company,terraform global
affiliated managers group,rockwell medical,cynosure
korn ferry,homeaway,precipio
informatica,cst brands,pdf solutions
public storage,paramount group,arcimoto
philip morris international,california resources,ceva
